"Web3Lagos 5.0 — Day 1 Schedule (Friday, 28 August 2026)",,,,,,,
NOTE: DePIN & RWA panel is a placeholder — swap in real panellist names when confirmed.,,,,,,,
Start,End,Duration (min),Speaker(s),Company / Project,Topic / Track / Notes,,
10:00 AM,10:10 AM,10,Opening Remarks,,Welcome & housekeeping,Slides,Group?
10:10 AM,10:20 AM,10,Ajayi Matthew,Onyxfi,,TRUE,TRUE
10:20 AM,10:35 AM,15,Abidemi Ademola,BitSave,,TRUE,FALSE
10:35 AM,10:45 AM,10,Oluwasanmi Timilehin,Evolution Global,,FALSE,TRUE
10:45 AM,11:00 AM,15,MORNING BREAK,,,FALSE,FALSE
11:00 AM,11:15 AM,15,Aidar Pochanov,Compass Labs,DeFi & Stablecoin,FALSE,FALSE
11:15 AM,11:30 AM,15,Favour Aniogor,"Co-Founder, HODL",Trust Machines: What Crypto Actually Does for Credit in Africa,TRUE,NOT ON WHT
11:30 AM,11:45 AM,15,Kc Pele,MobiAutomation,,TRUE,NOT ON WHT
11:45 AM,11:55 AM,10,Adetola Ogunsanya,Eth Swarm — Sponsor Spotlight,,TRUE,TRUE
11:55 AM,12:10 PM,15,Adugbo Victory,Strata,"Optimizing for AI Agents: Why Founders Must Optimize for AI Agents, Not Human Eyes",TRUE,TRUE
12:10 PM,12:40 PM,30,"Markus Levin, Oluwapelumi Adepegba, Dre","XYO, Data Scientist, ZCash",Panel: DePIN & Decentralised AI,TRUE,TRUE
12:40 PM,1:20 PM,40,Adeola Adesanmi,Interstellar,,TRUE,TRUE
1:20 PM,1:35 PM,15,Solomon Amaechi,Koboneer,Tokenization,FALSE,TRUE
1:35 PM,1:50 PM,15,Christian Obi Realist,Len3,Why every blockchain needs an intelligent layer,TRUE,TRUE
1:50 PM,2:20 PM,30,BREAK,,,TRUE,TRUE
2:20 PM,2:35 PM,15,Ukeme David Eseme,,The Browser Is Dead: Building the Internet for AI Agents using Blockchain Infrastructure,FALSE,TRUE
2:35 PM,2:50 PM,15,Aishat Suleiman,Flow Research,"Missing Layer in AI-Human Collaboration: Incentives, Trust and Accountability",TRUE,NOT ON WHT
2:50 PM,3:05 PM,15,Kayode Oluwole Oladamola,"RWA, Audacity",Onchain Lending For Productive Assets,TRUE,TRUE
3:05 PM,3:20 PM,15,Francis Codex,"Founder, Seedless",Africa & Emerging Markets,TRUE,NOT ON WHT
3:20 PM,3:30 PM,10,Closing Remarks,,Day 1 wrap-up,,
